tag,category,count,alias
"deepthroat,irrumatio",5,55555555,"aa,口交,deepthroat,irrumatio,mouth"
tongue_out,5,55555555,"ff,irrumatio,mouth"
crotch_rub,5,55555555,"aa,pp,磨雞雞JJ,penis"
"public_indecency,exhibitionism",5,55555555,"aa,pp,公共露出"
"undressing,open_clothes",5,55555555,"aa,脫衣服,除衫,pull"
holding_another's_wrist,5,55555555,"aa,hand,捉住手腕"
strangling,5,55555555,"aa,Cool頸窒息,hand"
v-shaped_eyebrows,5,55555555,"ff,\/嬲,scared,angry"
shaded_face,5,55555555,"ff,面上陰影"
half-closed_eyes,5,55555555,"ff,開半眼"
blush,5,55555555,"ff,面紅"
exhausted,5,55555555,"ff,筋疲力盡的,無力"
"fucked_silly,saliva,sweat",5,55555555,"ff,fucked_silly"
tears,5,55555555,"ff,tears,eye"
on_back,5,55555555,"pp,訓住"
squatting,5,55555555,"pp,蹲下"
prone_bone,5,55555555,"pp,趴底"
cowgirl_position,5,55555555,"pp,騎上位"
wariza,5,55555555,"pp,跨坐,W座"
squatting_cowgirl_position,5,55555555,"pp,M腳cowgirl_position"
skin_fang,5,55555555,"ff,肉牙,嘴,mouth"
stomach_bulge,5,55555555,"ee,腹部隆起,腹凸"
hanging_breasts,5,55555555,"ee,下垂胸"
bare_back,5,55555555,"ee,裸背"
female_masturbation,5,55555555,"aa,自慰,pussy"
legs_apart,5,55555555,"pp,m_legs,legs_apart"
m_legs,5,55555555,"pp,m_legs,legs_apart"
head_back,5,55555555,"pp,aa,仰?"
disembodied_hands,5,55555555,"ee,消失的手"
bruise,5,55555555,"ee,瘀青"
motion_lines,5,55555555,"ee,motion_lines"
^^^,5,55555555,"ee,^^^"
pov_hand,5,55555555,pov_hand
tally,5,55555555,"ee,寫正字,畫字"
see-through,5,55555555,"cc,通透的衣服,濕透的衣服"
"imminent_vaginal,erection",5,55555555,"pp,前戲準備預備插入,pre"
folded,5,55555555,"pp,屈曲位,扭曲身體"
steaming_body,5,55555555,"ee,霧氣"
"nipple,pussy_juice,sex,girl_on_top,looking_back,pussy,penis,anus,torso_grab,armpit,motion_lines,^^^,from_behind,",5,1,"set,從後POV+CowPos"
"nipples,fucked_silly,sweat,armpit,on_back,pussy_juice,pussy,sex,leg_up,penis",5,1,"set,on_back,fucked_silly"
"looking_to_the_side,averting_eyes",5,55555555,"ff,迴避眼神"
yokozuwari,5,55555555,"pp,sit,媚座"
grabbing_another's_chin,5,55555555,"aa,託起下巴"
arms_behind_head,5,55555555,"aa,pp.手放頭後"
scared,5,55555555,"ff,怕"
close-up,5,55555555,close-up
messy_hair,5,55555555,"ff,亂頭髮"
claw_pose,5,55555555,"pp,貓手,paw_pose"
rolling_eyes,5,55555555,"pp,反白眼,眼向上看望"
trembling,5,55555555,"ee,tlem,tem,抖動,全身震動"
head_pinned_down,5,44444444,"aa,禁頭,grab_head,head_pinned_down"
"{scared,|angry,v-shaped_eyebrows,|fucked_silly,{|tongue_out,|tongue_out,}{|looking_up,}}{|shaded_face},saliva,sweat",5,1,"ff,rape_face,通用表情"
"sitting,legs_apart,from_above,messy_hair,rolling_eyes,tongue_grab,blush,pov_hand,pov,nipple,fucked_silly,saliva,sweat,trembling,pussy_juice,wooden_sign_around_neck,wooden_sign,",5,1,"set,after_sex,事後,狗牌"
suspended,5,55555555,"pp,離地,懸空"
clenched_teeth,5,55555555,"ff,咬緊牙關,咬牙"
penis,5,55555555,jj
fucked_silly,5,77777777,"ff,fucked_silly"
pet_shaming,5,55555555,"ee,狗牌"
"facing_away,pussy,cum_in_pussy,cumdrip,spread_legs,exhausted,after_sex,after_vaginal,trembling,top-down_bottom-up,(outstretched_arm:1.1),messy_hair,dutch_angle,close-up",5,1,"set,after_sex,無面,從後"
wide-eyed,5,55555555,"ff,scared,睜開眼,wri"
cheek_bulge,5,55555555,"ff,口交凸口,deepthroat,irrumatio"
clothing_aside,5,55555555,"cc,衣服放旁邊"
bone_position,5,66666666,"pp,趴底,prone"
dutch_angle,5,55555555,"cc,角度"
clothed_female,5,55555555,clothed_female
head_tilt,5,77777777,Y頭
imminent_penetration,5,44444444,"pp,前戲,準備插入,勃起,penis"
"pussy,clitoris",5,88888888,"陰核,pussy"
uneven_eyes,5,55555555,"ff,大小眼"
spread_another_anus,5,55555555,"pp,打開屁股"
head_down,5,55555555,"pp,頭向下"
parted_lips,5,55555555,"ff,mouth,臭面"
palms,5,66666666,"hands,手部,手掌"
clitoris,5,33333333,陰核
lace_bra,5,55555555,"cc,蕾絲bra"
one_breast_out,5,55555555,"aa,breastes_out"
looking_at_viewer,5,55555555,"ff,looking_at_viewer"
clothes_between_breasts,5,33333333,"cc,clothes_between_breasts,介波胸"
unaligned_breasts,5,33333333,"aa,上下乳搖,bouncing_breasts"
bouncing_breasts,5,33333333,"aa,上下乳搖,unaligned_breasts"
sweat,5,77777777,"ee,汗"
heavy_breathing,5,33333333,"ee,重呼吸"
from_above,5,55555555,"cc,從上面"
from_side,5,55555555,"cc,從側面"
from_below,5,33333333,"cc,從下面"
from_behind,5,33333333,"cc,從後面"
breastes_out,5,55555555,"aa,one_breast_out"
breast_press,5,33333333,"aa,breast_press"
facial,5,55555555,"ee,cum_in_mouth,deepthroat,irrumatio"
alley,5,55555555,"pp,後巷,後街"
embarrassed,5,55555555,"ff,怕羞,害羞"
clenched_hands,5,55555555,"aa,拳頭,手,hand"
